userName,score,at,content
Ahmad NurHaqiqi,1,2024-09-24 23:19:38,"Aplikasi gak jelas, setiap mau masuk suruh masukin pw, pw sdh benar, tulisan salah.. Aplikasi RUWET.."
Teguh Santoso,1,2024-09-24 22:39:14,"susah login... kirim OTP 2 menit, email terbaca 2 menit kemudian"
HIDAYATULOH,5,2024-09-24 22:20:29,Dasboard sangat friendly
Venryu Z,1,2024-09-24 21:48:44,"Tolong diperbaiki untuk transfer tiket, saat ingin transfer tiket, daftar penumpang tidak ada dan tidak bisa ditambahkan selain itu saat pemesanan, loading terlalu lama.. Tidak ada respon padahal sinyal yang digunakan baik.. Harap segera ditingkatkan lagi aplikasinya"
Yayan Hidayat,3,2024-09-24 18:04:34,Kdng susah saat sistem pembayaran..
M Rifqi,4,2024-09-24 17:23:00,"Wahhh pekerjaanya ga ada profesi apoteker, yakali cuma DOKTER/PERAWAT/BIDAN"
Ahmad syuhro,1,2024-09-24 15:43:17,"Aplikasi KAI Access kok kurang optimal & kurang lancar. Loading dan sistemnya lama bikin sangat ribet banget. Mau top up kok prosesnya lama banget. Saat pesan tiket malah ada batas waktu pembelian, lalu ketika setelah menekan menu home, buka kembali aplikasi KAI Access tiba-tiba hilang. Mau pesan tiket lagi malah tiketnya habis. Gimana orang mau pergi dengan naik kereta? Saran : tingkatkan aplikasi KAI Access agar loading berjalan lancar dan cepat ketika tranksaksi pemesanan tiket dengan baik"
Muhammad Ilham,1,2024-09-24 14:48:05,Tolong diperbaiki lagi untuk jam kereta nya soalnya keretanya aturan ada jam sekian pas kita liat di stasiun ternyata keretanya sudah berangkat
Bilal Jadoel,1,2024-09-24 14:47:02,"Ini kenapa yaa saya mau isi data diri terus verifikasi masukin OTP selalu gabisa, padahal sudah isi sesuai yg di sms"
Sri Mulyani I,2,2024-09-24 14:36:13,"Hi kak, APS access ini sudah beberapa kali untuk update tetapi bagi saya pelanggan tidak ada benefit lebih yg saya dapatkan, update nya hanya seolah untuk pajangan (formalitas) contoh nya pada bagian fitur Top Up KAIPay metode pengisian saldo tidak lengkap semua BANK (bisa dengan bank lain tetapi tujuan BANK CIMB Niaga hadehhh😞😞), dan tidak bisa Top Up KAIPaynya menggunakan Qris. Come on sudah mau 2025."
Majida jida21,1,2024-09-24 14:11:56,Aplikasi ga guna mau ubah jadwal susah banget loading teruss!!!
Oktavia Elisa,1,2024-09-24 14:00:52,"Kalau bisa kasi bintang 0 saya kasi 0. Saya beli tiket kereta bandara dengan nominal 60 ribu dan sudah saya bayar tapi transaksi nya malah bermasalah alhasil tiket saya gagal di beli tapi uang saya malah di ambil dan sampe sekarang tidak di kembalikan oleh KAI aces, kalau memang transaksi nya gagal seharusnya saldo saya di kembalikan."
